epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.88859,3.40057,4.1145,4.35802,0.00332,0.31129,0.00244,0.00108,2.91185,3.72552,4.15908,5.716e-05,5.716e-05,5.716e-05
2,19.1049,3.3718,4.09787,4.28904,0.00359,0.33197,0.00814,0.0029,2.91255,3.72515,4.15881,0.000126064,0.000126064,0.000126064
3,23.6507,3.40528,4.04108,4.29149,0.00353,0.32245,0.00261,0.00112,2.91215,3.72444,4.15769,0.000192138,0.000192138,0.000192138
4,28.2486,3.35003,4.06037,4.23646,0.00354,0.32245,0.00274,0.00114,2.91128,3.72577,4.15706,0.000255382,0.000255382,0.000255382
5,33.2435,3.09749,4.01278,4.20151,0.00354,0.32634,0.00335,0.00129,2.91155,3.72665,4.1557,0.000315798,0.000315798,0.000315798
6,37.8141,3.29441,3.95074,4.16545,0.00313,0.32228,0.00351,0.00169,2.91205,3.72823,4.15546,0.000373383,0.000373383,0.000373383
7,40.3307,3.42781,3.93463,4.15517,0.00305,0.32611,0.00429,0.00155,2.91091,3.73221,4.15394,0.00042814,0.00042814,0.00042814
8,42.7709,3.13422,3.78259,4.1034,0.00307,0.3318,0.00308,0.00131,2.91013,3.73148,4.1534,0.000480067,0.000480067,0.000480067
9,45.2941,3.38869,3.80275,4.08956,0.00293,0.34279,0.00647,0.0022,2.90828,3.7415,4.15456,0.000529164,0.000529164,0.000529164
10,47.9573,3.16081,3.669,3.97829,0.00384,0.32414,0.00497,0.00164,2.90505,3.77229,4.16275,0.000575433,0.000575433,0.000575433
11,51.4867,3.19613,3.61117,3.94083,0.00397,0.32983,0.00671,0.00195,2.90297,3.82858,4.17595,0.000618871,0.000618871,0.000618871
12,55.3078,3.20142,3.54209,3.8609,0.00398,0.31298,0.0069,0.00169,2.90238,3.87983,4.19293,0.000659481,0.000659481,0.000659481
13,57.8256,3.22255,3.60409,3.84414,0.0041,0.31664,0.00436,0.00149,2.90323,3.88303,4.19224,0.000697261,0.000697261,0.000697261
14,60.1673,3.0847,3.59751,3.80786,0.00396,0.29979,0.00892,0.00196,2.90419,3.85847,4.20602,0.000732211,0.000732211,0.000732211
15,62.5888,3.11439,3.53612,3.75246,0.00402,0.30346,0.00537,0.00165,2.89866,4.13274,4.30994,0.000764332,0.000764332,0.000764332
16,64.9718,2.95485,3.45836,3.67224,0.00478,0.29979,0.0044,0.00159,2.89248,4.23559,4.34024,0.000793624,0.000793624,0.000793624
17,68.5809,3.04906,3.43363,3.64197,0.00392,0.29979,0.00866,0.00225,2.89072,4.19685,4.3549,0.000820086,0.000820086,0.000820086
18,72.4264,3.13562,3.47774,3.62945,0.00384,0.29979,0.0112,0.00437,2.89426,4.15244,4.35736,0.000843719,0.000843719,0.000843719
19,76.1907,3.10971,3.46189,3.62856,0.00449,0.31332,0.00722,0.00239,2.87156,4.17458,4.33517,0.000864522,0.000864522,0.000864522
20,78.5872,2.99511,3.39504,3.54118,0.00524,0.32458,0.01092,0.00311,2.86132,4.13328,4.30258,0.000882496,0.000882496,0.000882496
21,80.9078,3.12528,3.37966,3.59664,0.00525,0.3416,0.01017,0.00298,2.8457,4.08023,4.28304,0.000863116,0.000863116,0.000863116
22,83.3595,3.04551,3.39991,3.56454,0.0056,0.37361,0.0118,0.00344,2.83725,4.06857,4.25294,0.000834822,0.000834822,0.000834822
23,85.7191,3.00717,3.30813,3.45808,0.68586,0.01905,0.01175,0.00383,2.86377,4.03697,4.20089,0.000806528,0.000806528,0.000806528
24,89.3242,2.88957,3.22119,3.44545,0.35818,0.05539,0.01665,0.0045,2.90104,3.84809,4.11695,0.000778233,0.000778233,0.000778233
25,93.331,2.85076,3.23546,3.40301,0.35348,0.05581,0.01717,0.00472,2.85016,3.77837,4.00845,0.000749939,0.000749939,0.000749939
26,96.6503,2.82036,3.23794,3.39005,0.02047,0.04401,0.01642,0.0048,2.77467,3.75334,3.87548,0.000721645,0.000721645,0.000721645
27,99.0257,2.86242,3.33883,3.40202,0.042,0.04384,0.0155,0.00452,2.73087,3.66875,3.77506,0.000693351,0.000693351,0.000693351
28,101.462,2.80608,3.21239,3.3614,0.03533,0.02631,0.03058,0.00799,2.70943,3.50816,3.66502,0.000665057,0.000665057,0.000665057
29,103.886,2.86066,3.25964,3.27568,0.14113,0.04366,0.04593,0.01446,2.69545,3.37051,3.58459,0.000636762,0.000636762,0.000636762
30,106.48,2.8127,3.17776,3.30224,0.1415,0.06636,0.05369,0.01821,2.67637,3.24249,3.49594,0.000608468,0.000608468,0.000608468
31,110.211,2.86055,3.22616,3.35725,0.14191,0.10064,0.05544,0.01892,2.60807,3.14069,3.3999,0.000580174,0.000580174,0.000580174
32,114.322,2.75004,3.20818,3.22948,0.15687,0.20225,0.08658,0.02585,2.53942,3.18033,3.28381,0.00055188,0.00055188,0.00055188
33,117.056,2.78987,3.11651,3.26648,0.16912,0.2258,0.09979,0.02924,2.52949,3.26587,3.26882,0.000523586,0.000523586,0.000523586
34,119.604,2.94641,3.28868,3.23515,0.16745,0.21515,0.09676,0.02898,2.52863,3.33092,3.24664,0.000495291,0.000495291,0.000495291
35,122.045,2.76239,3.24223,3.29962,0.17653,0.20962,0.09724,0.02943,2.52401,3.36542,3.22387,0.000466997,0.000466997,0.000466997
36,124.509,2.75119,3.17108,3.25107,0.18681,0.24412,0.12049,0.03814,2.52134,3.46895,3.20138,0.000438703,0.000438703,0.000438703
37,127.912,2.70737,3.14022,3.26558,0.17881,0.27595,0.13082,0.0448,2.52425,3.44541,3.19949,0.000410409,0.000410409,0.000410409
38,132.157,2.71548,3.04451,3.15544,0.15792,0.32132,0.17883,0.06763,2.50068,3.51203,3.19069,0.000382115,0.000382115,0.000382115
39,135.671,2.77508,3.14721,3.18615,0.19123,0.25015,0.15279,0.05739,2.51213,3.73229,3.18329,0.00035382,0.00035382,0.00035382
40,138.158,2.62256,3.02721,3.13199,0.15125,0.35142,0.16823,0.06328,2.53143,3.76317,3.19668,0.000325526,0.000325526,0.000325526
41,142.554,2.43771,3.70539,3.11546,0.22099,0.31602,0.17986,0.06721,2.52414,3.54993,3.1793,0.000297232,0.000297232,0.000297232
42,145.279,2.44249,3.57434,3.07076,0.22092,0.27319,0.17419,0.06293,2.49906,3.28224,3.16921,0.000268938,0.000268938,0.000268938
43,149.167,2.43268,3.50435,3.09746,0.31065,0.2493,0.18302,0.06249,2.48526,3.14691,3.16535,0.000240644,0.000240644,0.000240644
44,153.301,2.40049,3.57696,3.01377,0.28646,0.26337,0.17516,0.05711,2.45579,2.99768,3.17314,0.000212349,0.000212349,0.000212349
45,156.032,2.41607,3.43843,3.13865,0.29178,0.1974,0.17763,0.06081,2.44371,2.9443,3.17045,0.000184055,0.000184055,0.000184055
46,158.507,2.3793,3.56314,3.1115,0.37139,0.20856,0.19283,0.06585,2.42716,2.90708,3.16443,0.000155761,0.000155761,0.000155761
47,160.897,2.44432,3.3936,3.06384,0.37514,0.20653,0.21161,0.07263,2.40461,2.89062,3.15607,0.000127467,0.000127467,0.000127467
48,163.345,2.40064,3.38466,3.0054,0.43196,0.24535,0.22943,0.08212,2.38048,2.86934,3.13859,9.91726e-05,9.91726e-05,9.91726e-05
49,166.705,2.35835,3.34931,3.07761,0.44848,0.23714,0.23839,0.08977,2.37151,2.86079,3.13091,7.08784e-05,7.08784e-05,7.08784e-05
50,170.528,2.47496,3.4239,3.04417,0.43691,0.23966,0.24402,0.0933,2.35646,2.85803,3.11839,4.25842e-05,4.25842e-05,4.25842e-05
